,recipe name,total time,cuisine,ingredients,cooking method,servings,Images
,Bruschetta,35 mins,['Italy'],"['6 or 7 ripe tomatoes (about 1 1/2 lbs)','2 cloves garlic, minced (about 2 teaspoons)','1 Tbsp extra virgin olive oil','1 teaspoon balsamic vinegar','6-8 fresh basil leaves, thinly sliced* or chopped','3/4 teaspoon sea salt, more or less to taste','1/2 teaspoon freshly ground black pepper, more or less to taste','1 baguette French bread or similar Italian bread','1/4 cup (60 ml) olive oil'] ",,8 Servings,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/190508-bruschetta-horizontal-2-1558014808.png?crop=1.00xw:0.752xh;0,0.137xh&resize=1200:*"
,Caesar salad,30 mins,['Mexican'],"['1/2 French Baguette cut in half and thinly sliced (1/4"" thick)','3 Tbsp extra virgin olive oil','1 tsp minced garlic 2 small cloves','2 Tbsp grated parmesan cheese','2 small garlic cloves minced (1 tsp)','2 tsp dijon mustard','1 tsp Worcestershire sauce','2 tsp fresh lemon juice','1 1/2 tsp red wine vinegar','1/3 cup extra virgin olive oil','1/2 tsp sea salt or to taste','1/8 tsp black pepper plus more to serve','1 large romaine lettuce (or 2 small heads romaine)','1/3 cup parmesan cheese shredded or shaved']",,4 Servings,https://www.fifteenspatulas.com/wp-content/uploads/2011/10/Caesar-Salad-Fifteen-Spatulas-3-500x375.jpg
,Cannoli,90 mins,['Italy'],"['2 cups all-purpose flour','1 tablespoon granulated sugar','1/4 teaspoon kosher salt','1 tablespoon plus 2 teaspoons unsalted butter, cut into small pieces','1 egg yolk','1/2 cup dry white wine','2 cups ricotta cheese, preferably whole milk','3/4 cup powdered sugar','1 teaspoon ground cinnamon','1/4 teaspoon allspice','1/4 cup heavy cream','1/4 cup small semisweet chocolate chips','1 lemon','1 quart canola oil, for frying','Flour, for rolling','1 egg, lightly beaten, for egg wash','Powdered sugar, for dusting']",,24 Servings,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/delish-190807-cannolis-0214-landscape-pf-1565647073.jpg?crop=0.792xw:0.594xh;0.101xw,0.200xh&resize=1200:*"
,Caprese salad,10 mins,['Italy'],"['3 vine-ripe tomatoes, 1/4-inch thick slices','1 pound fresh mozzarella, 1/4-inch thick slices','20 to 30 leaves (about 1 bunch) fresh basil','Extra-virgin olive oil, for drizzling','Coarse salt and pepper']",,5 Servings,https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2019/07/Caprese-Salad-2-500x500.jpg
,Carrot cake,210 mins,['American'],"['2 cups (260g) chopped pecans (1 cup for cake, 1 cup for garnish. Nuts are optional)','1 and 1/2 cups (300g) packed light or dark brown sugar','1/2 cup (100g) granulated sugar','1 cup (240ml) vegetable oil or canola oil (or melted coconut oil)','4 large eggs','3/4 cup (133g) smooth unsweetened applesauce','1 teaspoon pure vanilla extract','2 and 1/2 cups (312g) all-purpose flour (spoon & leveled)','2 teaspoons baking powder','1 teaspoon baking soda','1/2 teaspoon salt','1 and 1/2 teaspoons ground cinnamon','1 teaspoon ground ginger','1/4 teaspoon ground nutmeg','1/4 teaspoon ground cloves','2 cups (260g) grated carrots (about 4 large)','16 ounces (450g) full-fat block cream cheese','softened to room temperature,1/2 cup (115g) unsalted butter, softened to room temperature','4 and 1/2 cups (540g) confectioners’ sugar','1 Tablespoon (15ml) heavy cream or milk','1 and 1/2 teaspoons pure vanilla extract','pinch of salt, to taste']",,11 Servings,https://preppykitchen.com/wp-content/uploads/2020/04/carrot-cake-Recipe-new.jpg
,Ceviche,90 mins,['American'],"['1 pound US farm-raised catfish fillets, cut into 1/2-inch pieces', '1 teaspoon grapefruit zest', '1 teaspoon lime zest', '1/2 cup freshly squeezed grapefruit juice', '1/3 cup freshly squeezed lime juice', '1 medium tomato, seeded and diced', '1 small red onion, finely diced', '2 tablespoons extra-virgin olive oil', '4 cloves garlic, thinly sliced', '1 jalapeno, seeded and minced', '1 tablespoon chopped fresh cilantro leaves', '1 tablespoon chopped fresh oregano leaves', '1 1/2 teaspoons kosher salt', '1/2 teaspoon turbinado sugar', '1/2 teaspoon toasted and ground cumin', '1 avocado, pitted, peeled and diced']","['Put the catfish, grapefruit zest, lime zest, grapefruit juice, and lime juice into a large resealable bag. Put the bag into a leak-proof container and refrigerate for 4 to 8 hours, turning 2 to 3 times, during this time, to evenly distribute the marinade.', 'Drain the marinade and put the fish into a large serving bowl. Add the tomato, onion, olive oil, garlic, jalapeno, cilantro, oregano, salt, sugar, cumin, and avocado and stir gently to combine. Cover and refrigerate for 30 minutes prior to serving.']",6 to 8 servings,https://www.jessicagavin.com/wp-content/uploads/2020/07/shrimp-ceviche-16-1200.jpg
,Cheesecake,,['American'],"['1 3/4 cups Graham Cracker Crumbs (about 15 full crackers)','1/3 cup butter, melted','1/4 cup granulated sugar','1/2 teaspoon kosher salt','4 (8 ounce) packages Cream Cheese, room temperature (32- ounces in total)','1 cup granulated sugar','1/2 cup sour cream, room temperature','2 teaspoons vanilla','3 eggs, room temperature']","['Cream ingredients together. In the bowl of your stand mixer fitted with the paddle attachment, mix the cream cheese and sugar on medium speed, until smooth, scraping the sides of the bowl as necessary.
Turn the mixer to low and add the sour cream and vanilla; mix well, scraping sides of the bowl as necessary. Add the eggs, 1 at a time, mixing on low speed after each addition just until mixed. Don’t over mix.','Pour the filling over crust and spread evenly.
'Setup water bath and bake. Place the springform pan into a larger pan and pour very hot water into the pan, until it’s 3/4- inch deep, careful to make sure the water level doesn’t come up higher than the foil.',
Bake for 60-70 minutes or until the center is almost set. The center will still jiggle while the edges will be set.','Loosen cake and cool before serving. Carefully run a knife around the rim of pan to loosen cake. Allow the cheesecake to 
cool at room temperature for at least an hour, then cover and transfer into the refrigerator for 6 hours or overnight. Release the sides of the springform pan before slicing.']",12 Servings,https://natashaskitchen.com/wp-content/uploads/2020/05/Pefect-Cheesecake-7.jpg
,Cheese plate,30 mins,['American'],"['3–5 varieties of cheese, soft, semi firm, hard/aged','1–2 varieties of cured meats, salami, prosciutto','2–3 varieties of crackers (or crusty bread, baguette)','Seasonal fruit or dried fruit','Nuts','Pickled or marinated items, such as mini pickles (cornichons) or olives']","['Arrange everything in piles, mixing different shapes, sizes, and color on a large cheese platter or board.','Get creative and have fun!']",6 Servings,https://www.littlebroken.com/wp-content/uploads/2019/01/Cheese-Platter-101-How-to-Make-a-Cheese-Platter-18.jpg
,Chicken curry,55 mins,"['Asian, Sri Lankan']","['2 – 3 tbsp coconut oil','½ onion yellow or red','4 garlic cloves minced','1 inch ginger minced','6 – 7 curry leaves or 2 bay leaves','2 ½ tbsp roasted Sri Lankan curry powder','1 cinnamon stick or 1 small regular cinnamon stick','½ tsp salt plus more to taste','1 tsp cayenne pepper or chili powder (less if you like it less spicy.)','1 tbsp paprika not smoked or sweet paprika','2 lbs chicken, whole chicken cut into sections OR any bone-in chicken thigh or leg pieces (large thigh pieces should be cut in half)','2 serrano peppers (or regular green chili) cut length-wise, with or without seeds','3 roma tomatoes cut into cubes (or 2 medium-sized regular tomatoes)','2 tsp brown sugar','2 tsp apple cider vinegar','½ cup coconut milk','½ cup water']","['Add the coconut oil in to a large saucepan and heat the oil over medium heat. Add onion, garlic, ginger to the heated oil and cook until softened.','Add curry powder, chili powder/cayenne pepper, paprika, cinnamon, curry leaves and mix to combine. Cook for a few minutes until you start to smell the spices.','Add the chicken, serrano peppers/green chili peppers, salt, 3 roma tomatoes, 1 tsp sugar, and mix to coat. Cook for 10 minutes with the lid off, on medium high heat. Stir frequently to make sure the chicken or the spices don’t burn.',
'Add coconut milk, water, vinegar, and bring the curry to a boil. If you want less gravy, add less liquid.',
'Lower the heat, and let it simmer with the lid closed, for 15 – 20 minutes, stirring occasionally. Season with salt to taste. The chicken should be completely cooked by this point. Taste the curry and season to taste if needed',
'If the chicken curry gravy is too thin, or there’s too much of it, uncover and simmer the curry for a further 10 minutes or longer. This step is optional, but it will allow the water to evaporate and the gravy to thicken.',
'Turn off the heat and let the chicken cool down slightly. Serve with rice or roti.']",6 Servings,https://www.funfoodfrolic.com/wp-content/uploads/2020/09/Chicken-Curry-Thumbnail.jpg
,Chicken quesadilla,40 mins,['Mexican'],"['1 tbsp. extra-virgin olive oil','2 bell peppers, thinly sliced','1/2 onion, thinly sliced','Kosher salt','Freshly ground black pepper','1 lb.boneless skinless chicken breasts, sliced into strips','1/2 tsp.chili powder','1/2 tsp.ground cumin','1/2 tsp.dried oregano','4 medium flour tortillas','2 c. shredded Monterey jack','2 c. shredded cheddar','1 avocado, sliced','1 tbsp.vegetable oil','2 green onions, thinly sliced','Sour cream, for serving']","['In a large skillet over medium-high heat, heat olive oil. Add peppers and onion and season with salt and pepper. Cook until soft, 5 minutes. Transfer to a plate.',
'Heat remaining tablespoon vegetable oil over medium-high heat. Season chicken with spices, salt, and pepper and cook, stirring occasionally, until golden and cooked through, 8 minutes. Transfer to a plate.',
'Add 1 flour tortilla to skillet and top half of the tortilla with a heavy sprinkling of both cheeses, cooked chicken mixture, pepper-onion mixture, a few slices of avocado, and green onions. Fold the other half of the tortilla over and cook, flipping once, until golden, 3 minutes per side. Repeat to make 4 quesadillas.',
'Slice into wedges and serve with sour cream.']",4 Servings,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2013/2/5/1/WU0404H_chicken-quesadillas-recipe_s4x3.jpg.rend.hgtvcom.826.620.suffix/1488566353090.jpeg
,Chicken wings,3hr 20 mins,['Asian'],"['1/3 c.extra-virgin olive oil','1/3 c.low-sodium soy sauce','1/4 c.honey','1/4 c.chili garlic sauce','Juice of 1 lime','4 cloves garlic, minced','1 tbsp. freshly minced ginger','2 lb. chicken wings']","['In a large bowl, whisk together oil, soy sauce, honey, chili garlic sauce, lime juice, garlic, and ginger. Set aside ½ cup of mixture. Add chicken wings to remaining marinade and toss to coat. Cover and refrigerate for 2 hours.', 
'Preheat oven to 400° and place a wire rack over a baking sheet. Remove wings from marinade and place on wire rack. Bake until golden and crispy, 50 to 60 minutes, flipping wings halfway through.',
'In a small saucepan over medium heat, add reserved marinade. Bring to a boil, then reduce heat and let simmer until thickened, 10 minutes.',
'Turn oven to broil. Brush sauce over wings and broil until caramelized, 2 to 3 minutes.']",4 Servings,https://hips.hearstapps.com/hmg-prod/images/classic-buffalo-wings-horizontal-279-1547506077.jpg
,Chocolate cake,40 mins,['German'],"['2 cups granulated sugar','1 3/4 cups flour','3/4 cup unsweetened cocoa powder','1 1/2 teaspoons baking soda','1 1/2 teaspoons baking powder','1 teaspoon kosher salt','2 eggs','1 cup milk','1/2 cup vegetable oil','2 teaspoons vanilla','1 cup very warm water']","['Preheat oven to 350°F. Coat 2, 9-inch cake pans with nonstick spray. Cut 2, 9-inch rounds of parchment paper and place in the bottoms of the pans. Spray again with nonstick spray. Set aside.',
'In the bowl of your stand mixer fitted with the paddle attachment, mix together the sugar, flour, cocoa powder, baking soda, baking powder, and salt on low speed until combined.',
'With the mixer still on low, add in the eggs, milk, vegetable oil, and vanilla. Turn mixer up to medium and mix for 2 minutes, scraping the sides of the bowl as necessary. Turn the mixer back down to low and slowly add in the hot water. Mix for an additional minutes until combined.',
'Divide the batter between the 2 prepared pans. Bake for 30 minutes, or until a toothpick inserted in the center comes out clean.',
'Allow the cake to cool in the pan for 10 minutes and then remove and transfer to a wire rack to cool completely.']",10 Servings,https://www.mybakingaddiction.com/wp-content/uploads/2011/10/lr-0953-720x540.jpg
,Chocolate mousse,2hr 15 mins,['France'],"['2 eggs','1/4 cups granulated sugar','2 1/2 cups cold heavy whipping cream, divided','6 oz semi-sweet chocolate (about 1 cup semi-sweet chips)']","['Beat eggs and granulated sugar with your mixer for about 3 minutes.',
'Meanwhile heat 1 cup heavy whipping cream in a small saucepan until just hot, not boiling. With mixer on low pour the hot cream into the egg mixture slowly until combined.',
'Next, add the egg/cream mixture back into the saucepan and over low heat, stir for five minutes constantly until thickened. Do not boil.',
'Remove from heat and stir in chocolate until melted. Cover and refrigerate for 2 hours, until chilled, stirring occasionally.',
'When the mixture is completely chilled and firm use your whisk attachment on your stand mixer to whip the remaining heavy cream until stiff peaks form. Remove chocolate from fridge and using the paddle attachment or a spoon fold/stir the whipped cream into the chocolate until incorporated and smooth. I found using the paddle attachment on low speed worked best.',
'Serve immediately as-is, or refrigerate until ready to use.']",8 Servings,https://www.cookingclassy.com/wp-content/uploads/2020/02/chocolate-mousse-3.jpg
,Churros,35 mins,['Mexican/Southwestern'],"['1 cup (250ml) water','1/4 cup (56g) unsalted butter - diced into small cubes','1 Tbsp (13g) granulated sugar','1/4 tsp salt','1 cup (141g) all-purpose flour (scoop and level to measure)','1 large egg','1/2 tsp vanilla extract','Vegetable oil','1/2 cup (100g) granulated sugar','3/4 tsp ground cinnamon']","['For the coating whisk together 1/2 cup sugar and cinnamon in a shallow dish, set aside.',
'Heat about 1 1/2 inches vegetable oil in a large pot or deep skillet over medium-high heat to 360 degrees Fahrenheit. While oil is heating prepare batter.',
'Add water, butter, sugar and salt to a large saucepan, bring to a boil over medium-high heat.',
'Add flour reduce heat to medium-low and cook and stir constantly with a rubber spatula until mixture comes together and is smooth (a few lumps in it are fine)',
'Transfer mixture to a large mixing bowl, let cool 5 minutes.',
'Add vanilla and egg to flour mixture then blend immediately with an electric mixer. Blend until mixture comes together and is smooth (it will separate at first but keep mixing it will come together).',
'Transfer to a 16-inch piping bag fitted with a rounded star tip (no bigger than 1/2-inch). I recommend using the Ateco 845 or 846.',
'Carefully pipe mixture into preheated oil, into about 6-inch lengths, cut end with clean scissors.',
'Let fry until golden brown, about 2 minutes per side. Transfer to paper towels to dry briefly then transfer to cinnamon sugar mixture and roll to coat.',
'Repeat process with remaining dough (frying no more than 5 at once). Serve warm with chocolate ganache or caramel sauce for dipping if desired.']",18 Servings,https://static.toiimg.com/thumb/75672255.cms?imgsize=1603472&width=800&height=800
,Clam chowder,50 mins,['United States'],"['3 (6.5 ounce) cans minced clams','1 cup minced onion','1 cup diced celery','2 cups cubed potatoes','1 cup diced carrots','¾ cup butter','¾ cup all-purpose flour','1 quart half-and-half cream','2 tablespoons red wine vinegar','1 ½ teaspoons salt','ground black pepper to taste'] ","['Drain juice from clams into a large skillet over the onions, celery, potatoes and carrots. Add water to cover, and cook over medium heat until tender.',
'Meanwhile, in a large, heavy saucepan, melt the butter over medium heat. Whisk in flour until smooth. Whisk in cream and stir constantly until thick and smooth. Stir in vegetables and clam juice. Heat through, but do not boil.',
'Stir in clams just before serving. If they cook too much they get tough. When clams are heated through, stir in vinegar, and season with salt and pepper.']",8 Servings ,https://s23209.pcdn.co/wp-content/uploads/2019/10/Easy-Clam-ChowderIMG_1064.jpg
